Statistik från Skolverket, https://www.skolverket.se

Grundskolan - Antal elever per årskurs
Valt läsår: 2022/23

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Elever, förskoleklass;Andel (%) flickor, förskoleklass;Elever, årskurs 1-9;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;
Ahlafors Fria skola;71387206;Ale;1440;Enskild;Ahlafors Fria Skola Ekonomisk förening;7696142343;22;..;258;48,4;4,7;69,8;24;22;22;25;49;23;24;46;23;
Alboskolan;72616393;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;184;52,7;8,7;55,4;.;.;.;64;63;57;.;.;.;
Aroseniusskolan;48529699;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;445;46,7;13,5;58,7;.;.;.;.;.;.;186;130;129;
Bohusskolan;11043800;Ale;1440;Kommunal;Ale kommun;2120001439;38;44,7;547;49,7;38,2;63,6;54;53;43;44;51;39;81;96;86;
Da Vinciskolan A-C;71893438;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;227;50,7;29,1;60,4;.;.;.;.;.;.;79;69;79;
Da Vinciskolan D-F;71729095;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;217;52,5;26,7;57,1;.;.;.;.;.;.;67;72;78;
Garnvindeskolan;97093265;Ale;1440;Kommunal;Ale kommun;2120001439;60;58,3;204;44,1;15,2;52,5;70;66;68;.;.;.;.;.;.;
Himlaskolan;54807007;Ale;1440;Kommunal;Ale kommun;2120001439;24;45,8;140;50,0;12,1;55,7;33;19;24;23;6;35;.;.;.;
Kronaskolan 4-6;58798062;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;288;44,4;20,5;70,8;.;.;.;98;96;94;.;.;.;
Kronaskolan F-3;59239104;Ale;1440;Kommunal;Ale kommun;2120001439;132;49,2;350;45,4;18,0;73,7;133;104;113;.;.;.;.;.;.;
Kyrkbyskolan;16944234;Ale;1440;Kommunal;Ale kommun;2120001439;.;.;320;47,8;31,9;69,4;.;.;.;98;99;123;.;.;.;
Nolskolan;12789480;Ale;1440;Kommunal;Ale kommun;2120001439;50;56,0;291;49,1;26,5;62,2;39;43;50;47;55;57;.;.;.;
Nödingeskolan;22564015;Ale;1440;Kommunal;Ale kommun;2120001439;94;47,9;295;46,4;31,5;68,1;79;102;114;.;.;.;.;.;.;
Surteskolan;81439850;Ale;1440;Kommunal;Ale kommun;2120001439;37;35,1;236;53,8;42,8;65,3;30;44;37;37;38;50;.;.;.;
Gustav Adolfsskolan;74064638;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;.;.;335;49,9;9,6;68,7;.;.;.;.;.;.;112;114;109;
Hemsjö Kyrkskola;63452058;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;21;47,6;149;47,7;..;62,4;28;26;26;21;21;27;.;.;.;
Ingaredsskolan;49115714;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;39;35,9;235;44,3;7,2;79,6;50;40;35;48;24;38;.;.;.;
Kullingsbergsskolan;78832157;Alingsås;1489;Kommunal;Alingsås kommun;2120001553;50;46,0;232;47,8;11,2;75,0;47;45;35;34;41;30;.;.;.;
